               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1504,             0.77826,                   0,             0.92312,                   1,             0.98625,             0.78035,             0.77543,             0.40167,                   0,              0.0919,              0.0009,              0.0009
                   1,              0.1367,              1.2011,                   0,             0.92312,                   1,             0.98625,             0.78035,             0.77543,             0.40167,                   0,            0.082837,           0.0018373,           0.0018373
                   2,             0.13517,              1.1367,                   0,             0.92298,                   1,             0.98625,             0.77988,             0.77884,             0.38002,                   0,            0.073709,           0.0027086,           0.0027086
                   3,             0.28145,              0.8261,                   0,             0.92298,                   1,             0.98625,             0.77988,             0.77884,             0.38002,                   0,            0.064514,           0.0035139,           0.0035139
                   4,             0.60681,              2.4268,                   0,             0.92298,                   1,             0.98625,             0.77988,             0.77884,             0.38002,                   0,            0.055253,           0.0042532,           0.0042532
                   5,             0.47577,              1.5871,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,            0.045927,           0.0049265,           0.0049265
                   6,             0.55744,              1.8043,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,            0.036534,           0.0055338,           0.0055338
                   7,             0.48689,              1.1894,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,            0.027075,           0.0060751,           0.0060751
                   8,             0.57201,              2.1089,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,             0.01755,           0.0065504,           0.0065504
                   9,             0.61102,              1.9836,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,           0.0079597,           0.0069597,           0.0069597
                  10,             0.61715,              2.1882,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,              0.0067,              0.0067,              0.0067
                  11,             0.38903,              0.9302,                   0,             0.92367,                   1,             0.98625,             0.77924,             0.76759,             0.40153,                   0,              0.0067,              0.0067,              0.0067
                  12,             0.30633,              1.3855,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.53383,              1.7862,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00604,             0.00604,             0.00604
                  14,             0.54582,              1.8481,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00571,             0.00571,             0.00571
                  15,             0.46157,              1.5309,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00538,             0.00538,             0.00538
                  16,             0.41779,              1.3128,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.59859,              1.8711,                   0,             0.92263,                   1,             0.98625,             0.80658,             0.77855,             0.41763,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.43907,              1.2236,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.51469,               1.938,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00406,             0.00406,             0.00406
                  20,             0.52965,              1.3857,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00373,             0.00373,             0.00373
                  21,             0.39981,              1.2232,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.40559,              1.2049,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00307,             0.00307,             0.00307
                  23,             0.36996,             0.96374,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.62819,              2.3345,                   0,             0.92401,                   1,             0.98625,             0.78599,              0.7509,             0.38451,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.35136,             0.93593,                   0,             0.92241,                   1,               0.995,             0.78858,             0.76189,             0.38516,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.24586,              1.1487,                   0,             0.92241,                   1,               0.995,             0.78858,             0.76189,             0.38516,                   0,             0.00175,             0.00175,             0.00175
                  27,              0.2798,              1.6022,                   0,             0.92241,                   1,               0.995,             0.78858,             0.76189,             0.38516,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.18712,             0.98118,                   0,             0.92241,                   1,               0.995,             0.78858,             0.76189,             0.38516,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.13005,             0.90375,                   0,             0.92241,                   1,               0.995,             0.78858,             0.76189,             0.38516,                   0,             0.00076,             0.00076,             0.00076
